metadata_column	enumeration	enumeration_description
applicability	TRUE	The upgrade is applicable to the building
completed_status	Success	Simulation for the model was completed 
in.ahs_region	"CBSA Atlanta-Sandy Springs-Roswell, GA"	"American Housing Survey region Atlanta-Sandy Springs-Roswell, GA"
in.ahs_region	"CBSA Boston-Cambridge-Newton, MA-NH"	"American Housing Survey region Boston-Cambridge-Newton, MA-NH"
in.ahs_region	"CBSA Chicago-Naperville-Elgin, IL-IN-WI"	"American Housing Survey region Chicago-Naperville-Elgin, IL-IN-WI"
in.ahs_region	"CBSA Dallas-Fort Worth-Arlington, TX"	"American Housing Survey region Dallas-Fort Worth-Arlington, TX"
in.ahs_region	"CBSA Detroit-Warren-Dearborn, MI"	"American Housing Survey region Detroit-Warren-Dearborn, MI"
in.ahs_region	"CBSA Houston-The Woodlands-Sugar Land, TX"	"American Housing Survey region Houston-The Woodlands-Sugar Land, TX"
in.ahs_region	"CBSA Los Angeles-Long Beach-Anaheim, CA"	"American Housing Survey region Los Angeles-Long Beach-Anaheim, CA"
in.ahs_region	"CBSA Miami-Fort Lauderdale-West Palm Beach, FL"	"American Housing Survey region Miami-Fort Lauderdale-West Palm Beach, FL"
in.ahs_region	"CBSA New York-Newark-Jersey City, NY-NJ-PA"	"American Housing Survey region New York-Newark-Jersey City, NY-NJ-PA"
in.ahs_region	"CBSA Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"	"American Housing Survey region Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
in.ahs_region	"CBSA Phoenix-Mesa-Scottsdale, AZ"	"American Housing Survey region Phoenix-Mesa-Scottsdale, AZ"
in.ahs_region	"CBSA Riverside-San Bernardino-Ontario, CA"	"American Housing Survey region Riverside-San Bernardino-Ontario, CA"
in.ahs_region	"CBSA San Francisco-Oakland-Hayward, CA"	"American Housing Survey region San Francisco-Oakland-Hayward, CA"
in.ahs_region	"CBSA Seattle-Tacoma-Bellevue, WA"	"American Housing Survey region Seattle-Tacoma-Bellevue, WA"
in.ahs_region	"CBSA Washington-Arlington-Alexandria, DC-VA-MD-WV"	"American Housing Survey region Washington-Arlington-Alexandria, DC-VA-MD-WV"
in.ahs_region	Non-CBSA East North Central	American Housing Survey region BSA East North Central
in.ahs_region	Non-CBSA East South Central	American Housing Survey region BSA East South Central
in.ahs_region	Non-CBSA Middle Atlantic	American Housing Survey region BSA Middle Atlantic
in.ahs_region	Non-CBSA Mountain	American Housing Survey region BSA Mountain
in.ahs_region	Non-CBSA New England	American Housing Survey region BSA New England
in.ahs_region	Non-CBSA Pacific	American Housing Survey region BSA Pacific
in.ahs_region	Non-CBSA South Atlantic	American Housing Survey region BSA South Atlantic
in.ahs_region	Non-CBSA West North Central	American Housing Survey region BSA West North Central
in.ahs_region	Non-CBSA West South Central	American Housing Survey region BSA West South Central
in.aiannh_area	No	The sample is not located in American Indian/Alaska Native/Native Hawaiian Area
in.aiannh_area	Yes	The sample is located in American Indian/Alaska Native/Native Hawaiian Area
in.air_leakage_to_outside_ach50	0.03094	Total infiltration to the dwelling unit is 0.03094 ACH50
in.air_leakage_to_outside_ach50	0.06188	Total infiltration to the dwelling unit is 0.06188 ACH50
in.air_leakage_to_outside_ach50	0.09282	Total infiltration to the dwelling unit is 0.09282 ACH50
in.air_leakage_to_outside_ach50	0.09512	Total infiltration to the dwelling unit is 0.09512 ACH50
in.air_leakage_to_outside_ach50	0.11826	Total infiltration to the dwelling unit is 0.11826 ACH50
in.air_leakage_to_outside_ach50	0.12252	Total infiltration to the dwelling unit is 0.12252 ACH50
in.air_leakage_to_outside_ach50	0.12376	Total infiltration to the dwelling unit is 0.12376 ACH50
in.air_leakage_to_outside_ach50	0.1299	Total infiltration to the dwelling unit is 0.1299 ACH50
in.air_leakage_to_outside_ach50	0.13125	Total infiltration to the dwelling unit is 0.131249999999999 ACH50
in.air_leakage_to_outside_ach50	0.1547	Total infiltration to the dwelling unit is 0.1547 ACH50
in.air_leakage_to_outside_ach50	0.15501	Total infiltration to the dwelling unit is 0.15501 ACH50
in.air_leakage_to_outside_ach50	0.16336	Total infiltration to the dwelling unit is 0.16336 ACH50
in.air_leakage_to_outside_ach50	0.17324	Total infiltration to the dwelling unit is 0.17324 ACH50
in.air_leakage_to_outside_ach50	0.175	Total infiltration to the dwelling unit is 0.175 ACH50
in.air_leakage_to_outside_ach50	0.17739	Total infiltration to the dwelling unit is 0.17739 ACH50
in.air_leakage_to_outside_ach50	0.18564	Total infiltration to the dwelling unit is 0.18564 ACH50
